East Finals,Panthers,4,Panthers,6,Panthers,6,Hurricanes,6,Panthers,6,Hurricanes,6,Stars,6,x,0,Panthers,7,Panthers,7,Panthers,6
West Finals,Golden Knights,6,Stars,5,Golden Knights,6,Stars,7,Golden Knights,7,Stars,5,Panthers,6,x,0,Golden Knights,6,Golden Knights,6,Golden Knights,5
Stanley Cup,Golden Knights,5,Stars,6,Panthers,6,Stars,7,Golden Knights,5,Stars,6,Stars,7,x,0,Golden Knights,7,Golden Knights,6,Panthers,7
