Atlantic Finals,Panthers,5,Maple Leafs,6,Panthers,6,Maple Leafs,6,Maple Leafs,6,Maple Leafs,5,Maple Leafs,6,Maple Leafs,5,Panthers,7,Maple Leafs,6,Maple Leafs,6
Metro Finals,Hurricanes,5,Hurricanes,7,Devils,6,Devils,7,Devils,7,Devils,7,Devils,6,Hurricanes,6,Devils,6,Hurricanes,6,Hurricanes,7
Central Finals,Stars,7,Stars,6,Stars,6,Stars,5,Stars,6,Stars,6,Stars,5,Kraken,7,Stars,5,Stars,6,Stars,6
Pacific Finals,Golden Knights,6,Oilers,6,Oilers,6,Golden Knights,7,Oilers,6,Oilers,5,Oilers,6,Oilers,6,Oilers,7,Oilers,7,Oilers,6
East Finals,Panthers,4,Maple Leafs,7,Panthers,5,Maple Leafs,6,Maple Leafs,5,Maple Leafs,4,Maple Leafs,7,Hurricanes,6,Devils,6,Maple Leafs,7,Maple Leafs,7
West Finals,TBD, ,Oilers,6,Oilers,6,Stars,7,Oilers,5,Oilers,5,Oilers,6,Oilers,7,Oilers,6,Oilers,7,Oilers,6
Stanley Cup,TBD, ,Oilers,7,Oilers,6,Stars,7,Oilers,6,Maple Leafs,6,Oilers,6,Hurricanes,6,Oilers,6,Oilers,6,Oilers,7
