2023-04-17,NYI,1,CAR,2, 
2023-04-17,MIN,3,DAL,2,2OT
2023-04-17,LAK,4,EDM,3,OT
2023-04-17,FLA,1,BOS,3, 
2023-04-18,SEA,3,COL,1, 
2023-04-18,NYR,5,NJD,1, 
2023-04-18,TBL,7,TOR,3, 
2023-04-18,WPG,5,VGK,1, 
2023-04-19,FLA,6,BOS,3, 
2023-04-19,NYI,3,CAR,4,OT
2023-04-19,MIN,3,DAL,7, 
2023-04-19,LAK,2,EDM,4, 
2023-04-20,WPG,2,VGK,5, 
2023-04-20,TBL,2,TOR,7, 
2023-04-20,NYR,5,NJD,1, 
2023-04-20,SEA,2,COL,3, 
2023-04-21,BOS,4,FLA,2, 
2023-04-21,EDM,2,LAK,3,OT
2023-04-21,DAL,1,MIN,5, 
2023-04-21,CAR,1,NYI,5, 
2023-04-22,NJD,2,NYR,1,OT
2023-04-22,COL,6,SEA,4, 
2023-04-22,TOR,4,TBL,3,OT
2023-04-22,VGK,5,WPG,4,2OT
2023-04-23,BOS,6,FLA,2, 
2023-04-23,EDM,5,LAK,4,OT
2023-04-23,DAL,3,MIN,2, 
2023-04-23,CAR,5,NYI,2, 
2023-04-24,NJD, ,NYR, , 
2023-04-24,VGK, ,WPG, , 
2023-04-24,COL, ,SEA, , 
2023-04-24,TOR, ,TBL, , 
2023-04-25,NYI, ,CAR, , 
2023-04-25,MIN, ,DAL, , 
2023-04-25,LAK, ,EDM, , 
2023-04-26,FLA, ,BOS, , 
2023-04-26,SEA, ,COL, , 
2023-04-27,NYR, ,NJD, , 
2023-04-27,TBL, ,TOR, , 
2023-04-27,WPG, ,VGK, , 
2023-04-28,COL, ,SEA, , 
2023-04-28,CAR, ,NYI, , 
2023-04-28,DAL, ,MIN, , 
2023-04-28,BOS, ,FLA, , 
2023-04-29,EDM, ,LAK, , 
2023-04-29,NJD, ,NYR, , 
2023-04-29,TOR, ,TBL, , 
2023-04-29,VGK, ,WPG, , 
2023-04-30,FLA, ,BOS, , 
2023-04-30,NYI, ,CAR, , 
2023-04-30,SEA, ,COL, , 
2023-04-30,MIN, ,DAL, , 
2023-05-01,LAK, ,EDM, , 
2023-05-01,NYR, ,NJD, , 
2023-05-01,TBL, ,TOR, , 
2023-05-01,WPG, ,VGK, , 
